Song Title,Lyrics
Slava-kpss-heath-ledger-lyrics,"Я в хип-хапе как Hitachi, магнитола на века Рэпом землю сотрясаю, амплитуда великаЕсли дам концерт в Стамбуле, то турецким городам придёт пиздаСгораю, строя храм, — я анти-ГеростратШалом шаббат всем порядочным евреям в ЕАО Наши панчи в молоко, мы ими сбили НЛО Экстремистские молитвы для божественных людейВсе проёбано, пофиксим в пять минут, как суперклей Прекрасен, как Антей, держу в руках эту пару гантель Чтобы не выронить свой майк, когда будет тряска, поверьБолотная ряска сильней, чем вся твоя воля и властьНа каталонских баррикадах накарамболимся всласть I wanna девочка по имени ЕвонаЭти зумеры тупее Эвелона, броОни хотят всего хорошего с фашистким ликомНо я вижу лишь лошьё в их кликахМы тоже книжные, но улицей бывали битыДелили плитку из Афгана на могильных плитахПавших стрит-файтеров, а жил я праведно иль нетЕсть только мой путь, а правильного нет Я кидаюсь рэпом в будущность своей могилы У поэта есть трагедия , что он родилсяИ другой не надо, эти вирши нам не для весельяПрямой эфир из воронки грязевой сели Есть причины, что от нас скрытыКак правильно сказать: киргизы или кыргызыЧёрный лебедь на посадку заходит в сердцахБрошу, надо быть твёрже, чем сам твердый знакСмешенье вечного с уродством, я — готический соборИ все бары в точку, будто с автоматики в упорРа-та-та-та, та и один контрольный в небоЯ выблёвываю рифмы, брачо, я отравлен рэпомАльбик fucking legend, как старина Хит Леджер Я помню пейджер, но щас кидаю кэш на LedgerКак Джастин Гейджи, выдать бы хороший хук Чтоб ноги в пляс, это как танец джукПиздюки наглеют и однажды они нас подвинутБудто они райские любовнички, нам дышат в спинуГомошутки вне закона, отложу ещё один МРОТ На уплату штрафов за треки, где трахал вас в рот Пих, мазафака, похЛих ведь из казаковРод мой начало берёт и крови ручеёкСквозь годов пороги в генетическом маджонгеЯ поднял эту способность, чтоб вот так ронялись строки Чем бы всё не кончилось для нас, а всё же бит хорошийИ на нём мой голос хорошо сидит, как в палец вросшийНоготь 2ККартрайт, 24 годПомолчим минуту за всех павших русских пацановYou might also like"
Slava-kpss-iamu-lyrics,"Слишком много раз сказал слова «мама» и «папа» На этом альбоме нас делают травмы В жизни было всё, даже горела хата Сгорел бы и сарай, но я не колхозан ебаныйЯ не кидаю зан, не гонял в Дубай, не ебу шалав У меня у дома самая вкусная шава Взял микрофончик за пол ляма Как бросил зазу — я не знаю, на что ещё тратитьОпять нам грустно, а мы друг другу депрессант И мне не нужен друг, я могу себя записать сам Как Гриша Буда — радует лишь запись рэпаФак да психиатр, детка, я не хочу таблеток Я, как полярник, одинокий космос во мнеТы снова говоришь, что я с тобой холодный А я пишу будто Джанни Родари Друзья нужны, чтобы скидывать демкиМы не верим в смерть пока она не бахнет Молнией небесной по самым близкимСлёзы на глазах будто в Perfect DaysВселенная кричит мне: «Ты имеешь блэсс!» Надеюсь, мой рэп слышит Бог, ведь остальное смертно Мода временна, а мы как арабская феска Салют всем тем, с кем ходил в «Великано» под дексомТут много личного неймдропинга, но эта честная историяЯ хотел сделать альбик, как книгуМожет быть, не вышло, мне пора перевернуть страницуБрат не верит в Бога, но я буду за него молиться До сих пор живу как во время ковида — изолирован Как монах при свече Не скиты на треке, а треки в ските Сыростью могильной улиц СПБОна говорит: «этот город — музей» А голос в голове вторит: «Вспомни как раньше Ты был посвободней», но голос — обманщик Он уже не раз заводил меня в ямуГоворят: «Слушай сам себя», но я слушать не стануА мама знает как «деньги» по-английскиНо я перевёл money маме Взять хотел себе домик на Кипре Но в России красивее зориНаши пацаны как зомби — больны мозгамиКак пилоты в НАСКАРе, такие: «Нам газка бы!»Эй, мы водопады роняем каскадомЭй, эти релизы, как будто бастардыЧасти меня, которые я не готов признатьХочу домик в деревне, как с обложки молока Хочу домик в деревне, чтобы жить, как граф Гришнак И этот семпл подо мной, как будто Росинант Слушаю молодых рэперов, у меня уже всё есть Они только мечтают, да я, по ходу, ферзь Эй, как так случилось, сам не понимаю Как будто бы ещё вчера читал рэпась в подвалах Думал: после того баттла я подниму котлету Вернусь обратно в андеграунд, но уже семь лет как Делаем солдауты, салют всем нашим с GNG Замай, СД, с нас начиналось всё, как с АБВ You might also likeЕ, человек — это сумма поступков Я не хочу сказать, что Бог — это совесть Но прощу прощения за каждую глупостьЧто ей когда-либо делала больноЯ помню корни, но похуй на эти корни Я узнаю её из тыщи, но похуй на корни Ты слушаешь МС из ряда самых стойкихТу кукурузинку, что не взорвалась в попкорне (Па-пау"
Slava-kpss-idbid-lyrics,"Водопад рэпВодопад, эйВодопадВодопад рэп, тирс как Архимаг КПСС — в смысле я сплошной red flag Лора Пиана на мне, или я хз, что это Похуй на гайцов — едем по ЗСДАСТ, ЭЛТ , все эти аббревиатуры на мне Мои последние слова будут: «Айоу, е» Нужно сорок пять часов в дне, чтобы записывать тупой рэпЛечу на ямахе, как Сергей СупоневСнежные берега реки абсолютная душаРазлитая повсюду охуительно легка И мысль сейчас: «Даже умирать не страшно»Что-то сломается однажды в этой дурацкойМясной машине, я снова синийНо не хожу под красным, как флаг России Немолодой и нищий, она в меня влюбилась Разочаровалась, меня растлила Эта ночь в поле полном одуванчиков Приехал без ног твой Ванечка Когда я был маленьким — я был маленькимА остальное вас не касается У меня только взрослые травмыДурно пахнет этот поход в ароматный мирВ вагоне ресторане ветераны СВО Пьют свой «Жигуль», и мы смотрим в окно Жизнь чуть сложнее, чем твоя агитка Вышел на перрон, хлоп по карманам, минус жига Ретроспективно, не позитивноСмотрю на мир, ведь учил меня дядюшка Римус Не творить много хуйни — это уже немало Можешь гордиться, если сможешь уйти до зашквара Я завидую коллегам иногда, чтоПишут свои рейв хиты — им не надо вскрывать гнойничкиТого реального, что так непроглядно в тени Но потом одёрнусь — разве это жизнь? Я хочу дарить своим людям свет Я опять вложил себя в этот рэп Я это прожил — и теперь я здесь 2-0-2-4 — я не верю в смерть Не верю, что умер папа Не верю, что умрёт мама Не верю, что через десять летМногих из нас не будет рядом И на каком-то ударе Мой моторчик устанет Отбивать этот хип-хоп ритм Это мой альбом Ты прав, всего лишь ещё один You might also likeРоссия34, Россия34 Ты слушал это #FREEPLATINA, ёпта"
Slava-kpss-copper-pipes-lyrics,"Скажи мне, сколько ты стоишь, эй Скажи мне, сколько ты стоишь, эй Скажи мне, сколько ты стоишь, эй Эй, эйСкажи мне, сколько ты стоишь, эй Скажи мне, сколько ты стоишь, эй Скажи мне, сколько ты стоишь, эйЭй, эйЧто же такое продаться? Я вам сейчас объясню Это когда ты стал частью волныА не толкаешь волну Экспансия себя — вот моё кредо, моё тру, мой крест А твоя музычка — выжимка общих местСтадионы, тик-ток трендыТы лишь винтик индустрии Я же смыслы. Я же то, о чём моё сердце болитЯ запечатал свою душу в эти строки, в эти рифмы, весь мой путьИ что с того, что это бесконечный сплин?И что с того? «Заплатили или нет?» — дело не в этомСделал бэттл, я как Бэтмен — филантроп миллионерВедь я дарю вам всё святое, Богом отпущенное мнеРазве этот свет затмит кресло жюри на СТС?Содержание индивидуально, пусть и круг сузит Возможный слушатель и на Fast Food Music Это выйдет вряд ли, бро. В нарциссичную эпохуСделать альбик для души — это уже, считай, неплохоТягал жемчужины из склепа, как каштаны из огняЗдесь моя любовь и детство, как последние объятия отцаВсё, что дорого до боли: мои слёзы, мои рофлыНечистоты моих дум прятаны за рюш и гофрыЯ варю свой кофе и смотрю в окноТам заброшка стала Дикси, говорят: «Время — вода»Но сквозь пальцы уже льётся кипяток и нам на пенсию пораТаким, как был вчера, не буду никогда ужеИ да, бля, раньше было лучше, от деменции привет Но я не суеверный, нет, так что время не примет, не ждитеВ этом сочинении я ищу в пространстве гэпЧтоб съебаться по ту сторону. Вот кик, а вот и клэпЯ между ними затеряюсь, как сторублёвый билет Я вроде был, а вроде нет, я как юродивые сныВижу облезлый потолок той общаги, где я рос Даже когда приехал кости старые греть на РодосНаш Бог — Вулкан Ведь наша родина СССР А ты у девочек популярнее ПРЛ Я слушал Янку и Егора, Бориса, РоманаСразу вижу тех, кто здесь лишь для того, чтоб сделать бабокА для меня это забава, всё, что в жизни дарит светЗакройте сэмплером и майком, и как Варг свой эмбиентБуду отстукивать на рёбрах суки, что зовётся «смерть»Русский рэпер в медных трубах выживает чаще всехYou might also likeСкажи мне, сколько ты стоишь, эй Скажи мне, сколько ты стоишь, эй Скажи мне, сколько ты стоишь, эй Эй, эйСкажи мне, сколько ты стоишь, эйСкажи мне, сколько ты стоишь, эйСкажи мне, сколько ты стоишь, эй Эй"
Slava-kpss-a-tale-of-irreversible-death-annotated,"Сначала было небытие, потом я отвлёкся —И уже потом было словоСначала было небытие, потом я отвлёкся —И уже потом было словоЯ со смертью сросся — не было ни дня, чтобы я о ней не думалИ до сих пор меня охватывает какой-то животный ужас В глубоком озёрном трипе переживал разные смерти: меня сбивала машина, я падал с крышиДумал хоть так выйтиПотом я распалсяСтал чистым отсутствием разума Потребовалась вечность, чтобы вернуться, снова создать мир и себя в нёмЗнаешь, Слава — ты всегда был одинБлизкие и случайные знакомцы — это твои творенияТы засовываешь в них эмоции, мысли, чтобы заглушить ничтоВсё, что ты видишь в других — только твоё Но смерть не стала менее ужаснаЯ чувствую, как по головному мозгу бегут мурашкиКаждый раз, как в первый раз, я стоял над трупом деда и не чувствовал ничегоВедь не мог он стать объектом, этот бледный, лишённый жизни объект —Это не то же самое, что тёплым, летним вечером дед в роскошном пальто и широкополой шляпеВходит на кухню — такой статный, шикарный мужчинаТак говорят женщины, кажетсяЭто не то же самое, как он лежащий, пожираемый клеткой раковойЕму нужна была моя помощь, чтобы добраться до туалетаИ я думал, что это тело не является истинным проявлением моего дедаТого шикарного, в шляпе, он сидит где-то внутриПосле похорон: бабушка умерла через месяц — так любят только старикиКогда-то я написал дурацкий альбом «Солнце мёртвых»Хотя даже не читал книгу ШмелеваКогда-то она сказала: «Что с него взять? Он даже не может отрефлексировать смерть»Я лежу в постели: пять утра, никакого снаА ночь — чудовище, исполненное глазДоктор мне сказала вчера: «Надо обследоваться» в последний разБахилы никогда не налезают на мой сорок шестой размерРвутся в руках, как медузы в анекдотическом ГеленджикеНу а жизнь чем не анекдот? Смерть — это антипод или антидот?Долго не выходит врач. Начинается что-то вроде панической атаки Достаю смартфон. Опять погибли люди, я их не знаюНет поводов испытывать какие-то чувстваРазве что глупо, разве же мы не должны помогать друг-другу с этим удушающим запахом смерти?Хотя кому, почему должны что-то люди?Они просто делают всё, что могут себе позволитьВ конце концов, от убийства отделяет лишь законДа чувство моральной правотыВезде можно убить курицу, где-то собаку, где-то человекаА чувство моральной правоты — легко покупается на аргументыСлышно каблуки симпатичной медсестры:Представляю как её ебёт её муж или бойфренд или бойфрендка, сейчас же такЯ понимаю, почему так больно бросать даже откровенного абьюзераДаже если он тебя бьёт, или она трахается со всеми у тебя на глазахВсё-таки любые долгие отношения заканчивать — как умерщвлять часть себяВспоминать о смерти — это невыносимо, здесь так красиво—Нет. Здесь так уродливо, что я начинаю дышать всё глубжеКак же всё-таки не хочется умиратьБоже, что ты сделал? Создал это убогое, смертное телоНо ведь то, что не имеет предела — оно беспредельноА значит не является ничем конкретным. Это буквально ничто«Посадить дерево, родить сына» — у меня нет ничего из этогоНо ведь это тоже заблуждениеРебёнок — отдельная вселенная, а не часть тебя, и вся эта психологическая хуйняНо я могу их понять, этих гиперопекающих родителейДумаешь: «Вот оно, моё продолжение, моё спасение, моя кровиночка»А потом он начинает взрослеть, уезжает учиться в другой город лишь бы не видеться с тобой слишком частоОстаёшься один, да ещё и старыйИ уже не отвернуть взгляда от того, что зовётся «вечной тьмой»Хотя это, скорее, «отсутствие вечной тьмы»«Абсолютное отсутствие любого присутствия» — это естественные законыРодители готовы отдать за них жизнь, а дети вряд лиКажется, Ричард Докинз делал какие-то расчёты:«От какого количества детёнышей львица готова рискнуть стать мёртвой?», «Эгоистичные гены», — что-то там такоеСтранное словосочетание «Больничные покои», скорее «тревоги»Верующие — мне трудно поверить, что они вообще существуютЧто двухкопеечные истории могут полностью вытеснить страх смерти из области сознания. Какие-то древние правилаОчевидно же, что дух не может существовать без тела — всё указывает на этоНет ни одного примера, ни одного философа или учёного, который бы убедительно доказал неразрушимость индивидуального существования Мы своими глазами видим как хоронят наших близких, мы знаем, что это произойдёт и с намиИ всё же «верую, ибо абсурдно»А больничка-то довольно дорогая. Может надо было сэкономить?Сходить не в Москве, а в ОрлеНо зачем тебе деньги на смертном одре?Да и вообще — в сущности деньги только средство сопротивления гниениюХорошая еда, дом, врачи, тренеры — для этогоА сверху ведь ничего не нужноЭто не такие уж и больше деньги, а остальное это так скучно. Статус, авторитет, вещи.Тратить небольшое отпущенное время, чтобы заслужить одобрение в чьём-то нелепом циркеАртисты думают, что покупают билетик в вечность, оставив после себя песниНу не знаю. По-моему всё, что мы оставим — это памятник своему безграничному тщеславиюХочется сигаретуТак быстро летит время. Когда хорошо, когда занят чем-то интереснымКогда читаешь хорошую книгу, какие-нибудь приключения Шерлока Холмса или Гекльберри ФиннаКак быстро летит время без мысли о смертиИронично. Ведь когда время летит быстро — ты приближаешься к ней быстрееВрач открывает дверь. Я двигаюсь, словно в туманеЧеловек, внезапно, смертен — и в этом его родовое проклятьеТак на это смотрел ДостоевскийА она на меня даже не смотрит, когда говорит, что моя опухоль неоперабельна"
Slava-kpss-instrumental-version-lyrics,
Slava-kpss-pih-poh-rework-2023-lyrics,"Пих-пох это хип-хоп наоборотПих-похБудем знакомы, я закованный в комнате комнатный клопВ полночи трёп, полноте — стоп, тут полости, полные пробПостный бездарный хип-хопПосле подпален укроп, Эдварда Каллена в гробЭтот приталенный фрак в районе Гарлема жмётПчёлам неправильный мёд, о чём мечтали мы в тотОткрыл банк крот, теперь он банкротСлушай, еблан, ГРОТ, пока мы план трёмКо дну пойдёт планктон, пусть Пинкертон пики ртом ловит, чтоб потомЭтот шепоток смоет шапито, как поток, этот Papa DocСадит Rabbit'а на поводок — парадоксПо носу пара дозЁбаный Город дорог В диете творог, горохСпасибо этому Лёхе за то, что он подохПих-пох — это хип-хоп наоборот, е!She’d drive me crazy, she'd drive me crazyПих-пох — это хип-хоп наоборотПих-похShe'd drive me crazy, she’d drive me crazyПих-пох — это хип-хоп наоборотПих-похShe'd drive me crazy, she'd drive me crazyYou might also likeПих-пох — это хип-хоп наоборот!Любимые песни настоящих людей"
Slava-kpss-katafalka-rework-2023-lyrics,"Я за рулём своего катафалкаСгнившими до костей культями кручу баранкуКартинно помашу родным, суну под дворник астрыМой катафалк пролетает на красныйМы за рулём своего катафалкаСгнившими до костей культями крутим баранкуМама роняла слёзы, папа рыдал напрасноНаш катафалк пролетает на красныйВедь рано или поздно в крышку загонят гвоздиВедь мы не Коза Ностра и не бессмертны вовсеВ делах по ноздри, как Тони Монтана в коксеЭто и есть взрослый. Срывая гнева гроздьяНа праздник жизни ворваться голому и пьяномуНабить ебло козлу ебаному, что создал нас неравнымиТакси зеленоглазое красными фарамиГлядит на мир и, mon ami, встречай меня фанфарамиВедь мы на финише все одинаковыПотёртые протекторы выложу в путь дензнакамиРезину не спасти, как и желудок злакамиИ белых туфлей лаковых не надо брать в кредит, они уже твоиКосулю подпалив, минуем пост ГАИМост через Стикс, погост, земля, крестыПётр помашет палкой: «Грешник, притормози»You might also likeЯ за рулём своего катафалкаСгнившими до костей культями кручу баранкуКартинно помашу родным, суну под дворник астрыМой катафалк пролетает на красныйМы за рулём своего катафалкаСгнившими до костей культями крутим баранкуМама роняла слёзы, папа рыдал напрасноНаш катафалк пролетает на красныйЯ за рулём своего катафалкаСгнившими до костей культями кручу баранкуКартинно помашу родным, суну под дворник астрыМой катафалк пролетает на красныйМы за рулём своего катафалкаСгнившими до костей культями крутим баранкуМама роняла слёзы, папа рыдал напрасноНаш катафалк пролетает на красныйЯ за рулём своего катафалка!Я за рулём своего катафалка!Я за рулём своего катафалка!Я за рулём своего катафалка!Я за рулём своего катафалка!Я за рулём своего катафалка"
Slava-kpss-icarus-rework-2023-lyrics,"Злое небо Вавилона, свинцовая крышка гробаКороль всех скоморохов, кровь льётся, как газировкаОт Фалеса к Пармениду, от Дугина к КургинянуМы строим лестницу в небо, но впустят ли обезьяну?Жестокий пир Валтасара, где эго взойдет на дыбуНо жизнь на то и Сансара, сознание счастья — лишь символГотовься к финальной сцене, там стадо затопчет СимбуМечтаешь ли, глядя в небо, стать голубем сизокрылымТак лети, Икар, пускай все твердят:«Червяк должен ползать. Пусть пол в деньгах»Или по медным трубам, путь к ЭдемуПобеда духа, ведь мира нет Вне сознания мораль — химераЯ позволил себе всё, человек — есть мераВсех вещей, я расправлюсь с бонгомПару стопок и стану Богом!Икар, Икар, сойди с карнизаТы перебрал, людишки снизуПолзают мокрицами, мазки на полотне асфальтаХочется напиться, встать в окне и стильно сделать сальтоYou might also likeЧем выше, тем сильней запах жжённых перьевОт ядерных лучей не укроешься в тенях Падение легко, успокоимся в смертиНо время не пришло, из пепла встанет ФениксИз пепла встанет Феникс, из пепла встанет Феникс Из пепла встанет Феникс, из пепла встанет Феникс Феникс, я прошел сквозь всёАлкоголь и ко, мне сожгли нутроИ как бы не был далеко мой голубой горизонтЯ дойду, хоть и пешком, ведь прямой коридорМой путь к цели. Пусть трет простофиляМол, «Икар сдал в ломбард крылья»Нет, я высоко летал, но упал в чащуТут не лётная погода, но мой чёрный ящикЗдесь между строк я как прежде богНо теперь Люцифер, я падший ангелСтал не тот демон Азатот, себя хуже во сто крат, я доппельгангерСумасшедший гений, до конца моих днейЗапах жжёных перьев мне не даст взлететьЯ устал глядеть на птенцов, что пытаются покинуть землюПолёты духа над Вавилоном, болтовня на кухнях под этаноломГде контркультура всё тот же повод, капитал жрёт детей как Баал и МолохОни верят змею в овечьей шкуреИ не слышат никого, будто влезли в танкОни верят змею и змей наглея, то и дело переходит на парселтангЧем выше, тем сильней запах жженных перьевОт ядерных лучей не укроешься в тенях Падение легко, успокоимся в смертиНо время не пришло, из пепла встанет Феникс Из пепла встанет Феникс, из пепла встанет Феникс Из пепла встанет Феникс, из пепла встанет Феникс Из пепла встанет Феникс"
Slava-kpss-russian-field-rework-2023-lyrics,"Невыносима мне легкость бытияВнутри Хиросима, а снаружи тополяНевыносима мне легкость бытияВнутри Хиросима, а снаружи тополяЛасково шумят. Выйду в русское полеСегодня единица, завтра стану ноликНевыносима мне легкость бытияВнутри Хиросима, а снаружи тополяЛасково шумят. Выйду в русское полеСегодня единица, завтра стану ноликВ день, когда нас не стало, петля инструменталаЗатянет песню, как в детстве с отцом у вокзалаЧто-то так защемит, вспомню, как гудели у фонтанаСквозь щели глаз тоска сверкала. С пьяным фристайломПровожали её в дальний путь и было не жалкоВ пространстве душ она просто твоя содержанкаИграй, шарманка, мёртвым джанки, как дом-оградкаОрехов Лёша, наш хороший, земля тебе ханкаНо солнце светит и без нас, как сердце у ДанкоПланета крутится, но в привод пустая болванкаВставлена creator'ом. Над миром разгадку украдкойПодглядел на пире у Платона: ""Мы лишь опечатка!""А смерть как примадонна, выход в софитах финалаГде всех артистов на руках выносят из залаВо всех уездах всех галактик такая пьесаГде ты остался на бобах, но ты не принцессаYou might also likeНевыносима мне легкость бытияВнутри Хиросима, а снаружи тополяЛасково шумят. Выйду в русское полеСегодня единица, завтра стану ноликНевыносима мне легкость бытияВнутри Хиросима, а снаружи тополяЛасково шумят. Выйду в русское полеСегодня единица, завтра стану ноликНевыносима мне легкость бытияВнутри Хиросима, а снаружи тополяЛасково шумят. Выйду в русское полеТак страшно умирать, коли ты в невол"
Slava-kpss-i-dream-of-rework-2023-lyrics,"«Гнойный — пидор! Гнойный — пидор! Гнойный — пидор!»— …его ведь так и зовут?«Гнойный — пидор!»— Так и зовут, да«Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор!»—это называется тавтологиейЕ, гиены скалятся — на хуй гиенОдин мой панч, и весь твой баттл-рэп на сраку приселМне нужен только демон: Люцифер, Сатана, БафометЯ люблю лишь твою маму, алкоголь и баттл-рэпНа хуй всех! Я не хочу палить еблом с билбордаНужен только Cricket, чтоб спалить к чертям Восточный МордорМикстейп? Нет-нет, дисс, он бьёт, как монтировкой по лбуX, Y, Z, Z, вниз — и я пробил рифмовкой комбоРенессанс, мескалин, Бэтмен — жид, я ПингвинС нами ведь СаДист, а значит, мы воскрешаем KingRingНовый Vagabund — «Что они дуют?» Ты ловишь бэд-трипТвоя мама стонет на хуях — выйдет клёвый эдлиб Иду по пищевой цепи, пожирая шакаловУ твоей мамаши ВИЧ и СПИД — пожилая шалава Я ебу ваш смысл, чтоб подкинуть свинью МоисеюДай повыебонить на бите или петлю на шею You might also likeЯ не знаю, нахуй мне ваш хайп, если жизнь одна?Я мечтаю, чтоб подо мной, как шконка, тряслась рэп-играВ тронном зале при всех легендах рэпа навалить говнаЭто моя мечта Никто и никогда не сможет победить жида«Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор! Гнойный — пидор!»Стал еблоторговцем, как они, только не подал видуДаже если на мне кипа — пидор, я кидаю Сжечь эту культуру изнутри и перебить их гуруЧтобы кончить, мне нужны японки, тентакли и гуроГоржусь их хейтом, этим отторжением средыВедь, как Электро, я питаюсь напряжением сетиТы идола, мудак, не тронь, хоть он носатый, как туканЯ всегда могу добыть огонь, подорвав пуканНет хитов форматных, создал стиль свой, сидя домаМазафакер трахнул мазу, стать вторым ОксимирономТретьим Бабангидой, пятым Гуфом, пятнадцатым СтимомКПСС — я буду первый, кто ебал вас в гривуАндер или попс? Попробуй, втисни в категориюНе выйдет феатуринг с Сашей Скулом и Ларисой Долиной Мне это похуй всё, я запишу с десяток демокГде ебу твоих блядей, но нынче только русских девок Я не знаю, нахуй мне ваш хайп, если жизнь одна? Я мечтаю, чтоб подо мной, как шконка, тряслась рэп-играВ тронном зале при всех легендах рэпа навалить говнаЭто моя мечта Никто и никогда не сможет победить жидаЕ, мы обязательно проебём. Это АнтихайпНихуя не выйдет, пацаны, мы всё равно проиграем, можете надеяться дальше, мы проебём, мы всё проебём, потому что это наша судьба. И даже если мы победим, мы всё равно проебём"
Slava-kpss-dead-stars-rework-2023-lyrics,"У-у-у-уУ-у-у-уУ-у-у-уУ-у-у-уСлышь, эти звёзды без тебя погаснутНедаром гром и молния небо трясут в оргазмахНедаром под этим высвеченным небом в сепииМы забываем, что одни и зависаем в сетиБольшие дети под куполом вечного лета!Снег осыпался штукатуркой с небаЯ против воли стал наводчиком вечного рейхаВзяв два билета в ледяную пустыню ЁтунхеймаЧто-то горело в микросхемах — тот электроникЧто осознал себя как софт. А чип на ладони— вырванное сердце. Ну же, мир — рисованный комикс!Протяни костыль, и калека не станет с этим споритьНе проси меня остыть, я буду дымить, подоконникПрожигая плюхами — хули мне этот белый кролик?Он завел меня в кусты, где колет шипами лимонникРавнодушный глаз Луны и брошенный Богом питомникЗдесь мой обветшалый дом бытияВзвесь каждое слово — сломан ли я?Или тут ошибка в ДНК, чей-то программный кодКаждая молитва для него — это лишь баг-репортЗавтра я ещё не умру; хотя, кто его знает...Годы уже не вернуть, но время дано, чтобы тратитьТак что не считаю минут, что ждали пересменкуВ камерах сознания перестукиваясь через стенкуYou might also likeВижу свет мёртвых звёзд, вижу свет мёртвых звёздЯ пожил не всерьёз, всё как-то мелькомСлышу смех мёртвых звёзд, слышу смех мёртвых звёздНичто не вечно под их неверным светомВижу свет мёртвых звёзд, вижу свет мёртвых звёздЯ пожил не всерьёз, всё как-то мелькомСлышу смех мёртвых звёзд, слышу смех мёртвых звёздНичто не вечно под их неверным светомПоэт и песенник погиб. Только в MP3Остался свет его странной несчастной звездыА душу вынесла, как дым, из грязной параднойДосадный сор мясной избы — быть с Богом на равныхЭто ли не та мечта, которой ты сгубил себя?Но, отдавая нам тепло, равнодушной звездаОставалась всё равно и даже полуденный знойВ системе наших координат — абсолютный ноль!Но опалила крылья моль, упала за сервант;Теперь от червяка её не отличишь никак!Ну разве ж насекомое — не ""Альбатрос"" Бодлера?Скажи, француз, что же значит быть русским поэтом?Значит: остаться мёртвым светом, мчать через вакуумЧтобы найти свою планету, прожечь сетчаткуЗаброшенному человеку. Критической массой станетЭтот луч и он взорвётся суперновой —Здравствуй!Вижу свет мёртвых звёзд, вижу свет мёртвых звёздЯ пожил не всерьёз, всё как-то мелькомСлышу смех мёртвых звёзд, слышу смех мёртвых звёздНичто не вечно под их неверным светомВижу свет мёртвых звёзд, вижу свет мёртвых звёздЯ пожил не всерьёз, всё как-то мелькомСлышу смех мёртвых звёзд, слышу смех мёртвых звёздНичто не вечно под их неверным светомЯ видел этих левых звёзд, они — красный карликНо если их зажигают — это кому-то нужно!Только под лоском ты стандартный Степан, и кармаНастигнет, хоть выстави сотню юмора ружейА моя Вселенная только взорваласьЯ эту вспышку заметил лет около тридцатиНе так давно значит в строю наш небесный корабльИ мы ещё пару отсеков сможем прицепитьСлышь, ты ещё слишком, друг, молодойЧтобы играть в старика и рассуждать о смерти;Хотя и видишь на своём лугу терриконИз пустых надежд, эмоций, страхов, женщинНо это же просто опыт, очередной этапНа пути к чему-то новому, пусть и больноНо после осени всегда приходит зимаА на утро уже весна стучится в окнаНам что-то когда-то кем-то было даноНо что это было? Я уже не вспомню...Сдали полезные свойства дрова, металлоломРебром поставив, этот я не решу вопрос, тутВедь! Дайте иную планету!Я наполню её тоже своим пустым пиздежомПринимая грязные бумажки за чистую монетуЯ просто распишусь, что сделан не из духа — кишокВижу свет мёртвых звёзд, вижу свет мёртвых звёздЯ пожил не всерьёз, всё как-то мелькомСлышу смех мёртвых звёзд, слышу смех мёртвых звёздНичто не вечно под их неверным светомВижу свет мёртвых звёзд, вижу свет мёртвых звёздЯ пожил не всерьёз, всё как-то мелькомСлышу смех мёртвых звёзд, слышу смех мёртвых звёздНичто не вечно под их неверным свето"
